Origin Document,File,Entity,Entity-Long,Section,Section Title,Part In Document,Description,Link,Symbol,Full Document Symbol,Source
PKM 26/27 (A/80/611),A_80_611.json,RSCE,Regional Service Centre in Entebbe,,Administrative and budgetary aspects of the financing of the United Nations peacekeeping operations,"Mandate, results achieved and planned outcome","Effective 1 July 2026, RSCE will assume responsibility for the provision of residual liquidation support to the United Nations Investigative Team to Promote Accountability for Crimes Committed by Da’esh/Islamic State in Iraq and the Levant, whose mandate was terminated by the Security Council in its resolution 2697 (2023), as from 17 September 2024, and the United Nations Assistance Mission for Iraq (UNAMI), whose mandate was terminated by the Council, in its resolution 2732 (2024), as from 31 December 2025.",https://docs.un.org/en/S/RES/2697(2023),2697 (2023),S/RES/2697(2023),Security Council resolutions
PKM 26/27 (A/80/611),A_80_611.json,RSCE,Regional Service Centre in Entebbe,,Administrative and budgetary aspects of the financing of the United Nations peacekeeping operations,"Mandate, results achieved and planned outcome","Effective 1 July 2026, RSCE will assume responsibility for the provision of residual liquidation support to the United Nations Investigative Team to Promote Accountability for Crimes Committed by Da’esh/Islamic State in Iraq and the Levant, whose mandate was terminated by the Security Council in its resolution 2697 (2023), as from 17 September 2024, and the United Nations Assistance Mission for Iraq (UNAMI), whose mandate was terminated by the Council, in its resolution 2732 (2024), as from 31 December 2025.",https://docs.un.org/en/S/RES/2732(2024),2732 (2024),S/RES/2732(2024),Security Council resolutions
PKM 26/27 (A/80/611),A_80_611.json,RSCE,Regional Service Centre in Entebbe,,Administrative and budgetary aspects of the financing of the United Nations peacekeeping operations,"Mandate, results achieved and planned outcome","32–39), the consolidation of payroll services was approved by the General Assembly in its resolution 80/242.",https://docs.un.org/en/A/RES/80/242,80/242,A/RES/80/242,General Assembly resolutions
PKM 26/27 (A/80/611),A_80_611.json,RSCE,Regional Service Centre in Entebbe,,Administrative and budgetary aspects of the financing of the United Nations peacekeeping operations,"Mandate, results achieved and planned outcome","Following the adoption by the General Assembly of its resolution 78/294, RSCE will lead the consolidation of administrative and financial services, excluding payroll, for 16 active clients of the Kuwait Joint Support Office.",https://docs.un.org/en/A/RES/78/294,78/294,A/RES/78/294,General Assembly resolutions
PKM 26/27 (A/80/611),A_80_611.json,RSCE,Regional Service Centre in Entebbe,,Administrative and budgetary aspects of the financing of the United Nations peacekeeping operations,"Mandate, results achieved and planned outcome","In line with General Assembly resolutions 70/286 and 76/274, RSCE has continued to advance the nationalization of posts, supporting the professional growth of the local workforce and strengthening long-term sustainability.",https://docs.un.org/en/A/RES/70/286,70/286,A/RES/70/286,General Assembly resolutions
PKM 26/27 (A/80/611),A_80_611.json,RSCE,Regional Service Centre in Entebbe,,Administrative and budgetary aspects of the financing of the United Nations peacekeeping operations,"Mandate, results achieved and planned outcome","In line with General Assembly resolutions 70/286 and 76/274, RSCE has continued to advance the nationalization of posts, supporting the professional growth of the local workforce and strengthening long-term sustainability.",https://docs.un.org/en/A/RES/76/274,76/274,A/RES/76/274,General Assembly resolutions
PKM 26/27 (A/80/611),A_80_611.json,RSCE,Regional Service Centre in Entebbe,,Administrative and budgetary aspects of the financing of the United Nations peacekeeping operations,"Mandate, results achieved and planned outcome",International,https://docs.un.org/en/S/RES/2713(2023),Panel of Experts pursuant to resolution 2713 (2023),S/RES/2713(2023),Security Council resolutions
PKM 26/27 (A/80/611),A_80_611.json,RSCE,Regional Service Centre in Entebbe,,Administrative and budgetary aspects of the financing of the United Nations peacekeeping operations,"Mandate, results achieved and planned outcome",National,https://docs.un.org/en/S/RES/2713(2023),Panel of Experts pursuant to resolution 2713 (2023),S/RES/2713(2023),Security Council resolutions
PKM 26/27 (A/80/611),A_80_611.json,RSCE,Regional Service Centre in Entebbe,,Administrative and budgetary aspects of the financing of the United Nations peacekeeping operations,"Mandate, results achieved and planned outcome",Uniformed,https://docs.un.org/en/S/RES/2713(2023),Panel of Experts pursuant to resolution 2713 (2023),S/RES/2713(2023),Security Council resolutions
PKM 26/27 (A/80/614),A_80_614.json,UNISFA,United Nations Interim Security Force for Abyei,,Financing of the United Nations Interim Security Force for Abyei,"Mandate, results achieved and planned outcome",The mandate of the United Nations Interim Security Force for Abyei (UNISFA) was established by the Security Council in its resolution 1990 (2011) and extended in subsequent resolutions.,https://docs.un.org/en/S/RES/1990(2011),1990 (2011),S/RES/1990(2011),Security Council resolutions
PKM 26/27 (A/80/614),A_80_614.json,UNISFA,United Nations Interim Security Force for Abyei,,Financing of the United Nations Interim Security Force for Abyei,"Mandate, results achieved and planned outcome",The mandate for the performance period was provided by the Council in its resolutions 2708 (2023) and 2760 (2024).,https://docs.un.org/en/S/RES/2708(2023),2708 (2023),S/RES/2708(2023),Security Council resolutions
PKM 26/27 (A/80/614),A_80_614.json,UNISFA,United Nations Interim Security Force for Abyei,,Financing of the United Nations Interim Security Force for Abyei,"Mandate, results achieved and planned outcome",The mandate for the performance period was provided by the Council in its resolutions 2708 (2023) and 2760 (2024).,https://docs.un.org/en/S/RES/2760(2024),2760 (2024),S/RES/2760(2024),Security Council resolutions
PKM 26/27 (A/80/614),A_80_614.json,UNISFA,United Nations Interim Security Force for Abyei,,Financing of the United Nations Interim Security Force for Abyei,"Mandate, results achieved and planned outcome","The most recent extension of the mandate was authorized by the Council in its resolution 2802 (2025), by which it extended the mandate until 15 November 2026.",https://docs.un.org/en/S/RES/2802(2025),2802 (2025),S/RES/2802(2025),Security Council resolutions
PKM 26/27 (A/80/614),A_80_614.json,UNISFA,United Nations Interim Security Force for Abyei,,Financing of the United Nations Interim Security Force for Abyei,"Mandate, results achieved and planned outcome","In accordance with Security Council resolution 2802 (2025), by which the Council extended the Force’s mandate until 15 November 2026, UNISFA will prepare an additional report for the Council on security situation activities undertaken by authorities in the Sudan and South Sudan to assess demonstrable progress towards achieving benchmarks outlined by the Council, and it will provide a comprehensive assessment of the security implications of any potential drawdown.",https://docs.un.org/en/S/RES/2802(2025),2802 (2025),S/RES/2802(2025),Security Council resolutions
PKM 26/27 (A/80/614),A_80_614.json,UNISFA,United Nations Interim Security Force for Abyei,,Financing of the United Nations Interim Security Force for Abyei,"Mandate, results achieved and planned outcome","During the first half of the 2025/26 period, a civilian staffing review was conducted by UNISFA and the Department of Operational Support, in accordance with paragraph 28 of General Assembly resolution 76/274.",https://docs.un.org/en/A/RES/76/274,76/274,A/RES/76/274,General Assembly resolutions
PKM 26/27 (A/80/615),A_80_615.json,UNMIK,United Nations Interim Administration Mission in Kosovo,,Financing of the United Nations Interim Administration Mission in Kosovo,"Mandate, results achieved and planned outcome",The mandate of UNMIK was established by the Security Council in its resolution 1244 (1999).,https://docs.un.org/en/S/RES/1244(1999),1244 (1999),S/RES/1244(1999),Security Council resolutions
PKM 26/27 (A/80/615),A_80_615.json,UNMIK,United Nations Interim Administration Mission in Kosovo,,Financing of the United Nations Interim Administration Mission in Kosovo,"Mandate, results achieved and planned outcome","In implementing those priorities, the Mission ensured the integration of gender and youth perspectives into all aspects of its work, in accordance with Security Council resolutions 1325 (2000) and 2250 (2015) and subsequent resolutions on women and peace and security and on youth, peace and security, respectively.",https://docs.un.org/en/S/RES/1325(2000),1325 (2000),S/RES/1325(2000),Security Council resolutions
PKM 26/27 (A/80/615),A_80_615.json,UNMIK,United Nations Interim Administration Mission in Kosovo,,Financing of the United Nations Interim Administration Mission in Kosovo,"Mandate, results achieved and planned outcome","In implementing those priorities, the Mission ensured the integration of gender and youth perspectives into all aspects of its work, in accordance with Security Council resolutions 1325 (2000) and 2250 (2015) and subsequent resolutions on women and peace and security and on youth, peace and security, respectively.",https://docs.un.org/en/S/RES/2250(2015),2250 (2015),S/RES/2250(2015),Security Council resolutions
PKM 26/27 (A/80/615),A_80_615.json,UNMIK,United Nations Interim Administration Mission in Kosovo,,Financing of the United Nations Interim Administration Mission in Kosovo,"Mandate, results achieved and planned outcome","During the 2025/26 period, a civilian staffing review of UNMIK was undertaken in line with General Assembly resolution 76/274.",https://docs.un.org/en/A/RES/76/274,76/274,A/RES/76/274,General Assembly resolutions
PKM 26/27 (A/80/621),A_80_621.json,UNMISS,United Nations Mission in South Sudan,,Financing of the United Nations Mission in South Sudan,"Mandate, results achieved and planned outcome",The mandate of United Nations Mission in South Sudan (UNMISS) was established by the Security Council in its resolution 1996 (2011).,https://docs.un.org/en/S/RES/1996(2011),1996 (2011),S/RES/1996(2011),Security Council resolutions
PKM 26/27 (A/80/621),A_80_621.json,UNMISS,United Nations Mission in South Sudan,,Financing of the United Nations Mission in South Sudan,"Mandate, results achieved and planned outcome","The mandate for the performance period was provided in its resolutions 2729 (2024), 2778 (2025) and 2779 (2025).",https://docs.un.org/en/S/RES/2729(2024),2729 (2024),S/RES/2729(2024),Security Council resolutions
PKM 26/27 (A/80/621),A_80_621.json,UNMISS,United Nations Mission in South Sudan,,Financing of the United Nations Mission in South Sudan,"Mandate, results achieved and planned outcome","The mandate for the performance period was provided in its resolutions 2729 (2024), 2778 (2025) and 2779 (2025).",https://docs.un.org/en/S/RES/2778(2025),2778 (2025),S/RES/2778(2025),Security Council resolutions
PKM 26/27 (A/80/621),A_80_621.json,UNMISS,United Nations Mission in South Sudan,,Financing of the United Nations Mission in South Sudan,"Mandate, results achieved and planned outcome","The mandate for the performance period was provided in its resolutions 2729 (2024), 2778 (2025) and 2779 (2025).",https://docs.un.org/en/S/RES/2779(2025),2779 (2025),S/RES/2779(2025),Security Council resolutions
PKM 26/27 (A/80/621),A_80_621.json,UNMISS,United Nations Mission in South Sudan,,Financing of the United Nations Mission in South Sudan,"Mandate, results achieved and planned outcome","During the 2025/26 period, the Mission conducted a civilian staffing review, in accordance with paragraph 28 of General Assembly resolution 76/274.",https://docs.un.org/en/A/RES/76/274,76/274,A/RES/76/274,General Assembly resolutions
PKM 26/27 (A/80/621),A_80_621.json,UNMISS,United Nations Mission in South Sudan,,Financing of the United Nations Mission in South Sudan,"Mandate, results achieved and planned outcome","In line with the request from the General Assembly in its resolution 76/274 for further nationalization and taking into account both the capacity of national staff and the potential for increased efficiencies, the civilian staffing review recommended six nationalizations through the conversion of posts and positions.",https://docs.un.org/en/A/RES/76/274,76/274,A/RES/76/274,General Assembly resolutions
